what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.debugger.core",1403697586847
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1403697586847
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1403697586848
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.2.v201205310922,"org.eclipse.datatools.sqltools.sqlscrapbook",1403697586848
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.4.v201212120623,"org.eclipse.datatools.sqltools.sqleditor",1403697586849
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1403697586849
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.2.v201212120623,"org.eclipse.datatools.sqltools.tabledataeditor",1403697586850
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.3.v201212070447,"org.eclipse.datatools.connectivity.sqm.core.ui",1403697586851
stopped,bundle,org.eclipse.cdt,8.3.0.201402142303,"org.eclipse.cdt",1403697586851
stopped,bundle,org.eclipse.cdt.doc.user,5.3.0.201402142303,"org.eclipse.cdt.doc.user",1403697586852
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20130326-1254,"org.eclipse.ui.cheatsheets",1403697586853
stopped,bundle,org.eclipse.help.ui,4.0.0.v20130515-1955,"org.eclipse.help.ui",1403697586854
stopped,bundle,org.eclipse.help.webapp,3.6.200.v20130514-1258,"org.eclipse.help.webapp",1403697586854
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1403697586854
stopped,bundle,org.eclipse.ui.intro.universal,3.2.600.v20130326-1254,"org.eclipse.ui.intro.universal",1403697586854
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1403697586855
stopped,bundle,org.eclipse.ui.intro,3.4.200.v20130326-1254,"org.eclipse.ui.intro",1403697586855
stopped,bundle,org.eclipse.help.base,4.0.0.v20130605-2000,"org.eclipse.help.base",1403697586856
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.701.v201303130503,"org.eclipse.wst.ws.explorer",1403697586857
stopped,bundle,org.eclipse.equinox.http.jetty,3.0.100.v20130327-1442,"org.eclipse.equinox.http.jetty",1403697586857
stopped,bundle,org.eclipse.wst.server.preview,1.1.200.v20130502_0936,"org.eclipse.wst.server.preview",1403697586858
stopped,bundle,org.eclipse.m2e.core.ui,1.4.0.20130601-0317,"org.eclipse.m2e.core.ui",1403697586859
stopped,bundle,org.eclipse.pde.api.tools,1.0.500.v20130529-1948,"org.eclipse.pde.api.tools",1403697586859
stopped,bundle,org.eclipse.jem.beaninfo,2.0.300.v200905030615,"org.eclipse.jem.beaninfo",1403697586860
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.core,1.3.0.v201305152244,"org.eclipse.jpt.jaxb.eclipselink.core",1403697586861
stopped,bundle,org.eclipse.jpt.common.eclipselink.core,1.3.0.v201304302343,"org.eclipse.jpt.common.eclipselink.core",1403697586861
stopped,bundle,org.eclipse.jpt.jaxb.core,1.3.0.v201305152244,"org.eclipse.jpt.jaxb.core",1403697586863
stopped,bundle,org.eclipse.jpt.common.core,1.3.0.v201304300138,"org.eclipse.jpt.common.core",1403697586863
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.300.v201003112036,"org.eclipse.jst.j2ee.ejb.annotation.model",1403697586864
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.400.v201305070000,"org.eclipse.jst.jee.ejb",1403697586864
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1403697586865
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1403697586865
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.701.v201212112014,"org.eclipse.jst.ws.consumption",1403697586866
stopped,bundle,org.eclipse.jst.ws,1.0.600.v201108242234,"org.eclipse.jst.ws",1403697586866
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.700.v201305012100,"org.eclipse.jst.j2ee.ejb",1403697586867
stopped,bundle,org.eclipse.jst.jee.web,1.0.400.v201305070100,"org.eclipse.jst.jee.web",1403697586868
stopped,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.500.v201305012042,"org.eclipse.jst.ws.jaxrs.core",1403697586868
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.701.v201401101700,"org.eclipse.jst.j2ee.web",1403697586869
stopped,bundle,org.eclipse.jst.jee,1.0.601.v201401082230,"org.eclipse.jst.jee",1403697586871
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.700.v201305311500,"org.eclipse.jst.j2ee.jca",1403697586872
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1403697586873
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.4.0.v201305011549,"org.eclipse.jst.jsf.facesconfig",1403697586874
stopped,bundle,org.eclipse.m2e.wtp.overlay.ui,1.0.0.20130612-1742,"org.eclipse.m2e.wtp.overlay.ui",1403697586875
stopped,bundle,org.eclipse.m2e.wtp.overlay,1.0.0.20130612-1742,"org.eclipse.m2e.wtp.overlay",1403697586875
stopped,bundle,org.eclipse.jst.j2ee,1.1.710.v201401281800,"org.eclipse.jst.j2ee",1403697586876
stopped,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1403697586876
stopped,bundle,org.eclipse.jst.j2ee.core,1.3.10.v201310231400,"org.eclipse.jst.j2ee.core",1403697586877
stopped,bundle,org.eclipse.jem,2.0.600.v201201051400,"org.eclipse.jem",1403697586878
stopped,bundle,org.eclipse.jem.proxy,2.0.400.v201101101900,"org.eclipse.jem.proxy",1403697586879
stopped,bundle,org.eclipse.pde.ds.core,1.0.300.v20130514-1232,"org.eclipse.pde.ds.core",1403697586879
stopped,bundle,org.eclipse.pde.launching,3.6.100.v20130507-2111,"org.eclipse.pde.launching",1403697586879
stopped,bundle,org.eclipse.pde.ua.core,1.0.300.v20130402-1757,"org.eclipse.pde.ua.core",1403697586880
stopped,bundle,org.eclipse.pde.core,3.9.0.v20130515-1659,"org.eclipse.pde.core",1403697586881
stopped,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1403697586881
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20110511-0800,"org.eclipse.team.cvs.ssh2",1403697586881
stopped,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1403697586881
